[2022-12-22T14:41:05.872] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
[2022-12-22T14:51:16.003] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
[2022-12-22T15:10:12.148] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
[2022-12-22T15:23:22.374] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
[2022-12-22T15:23:23.501] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
[2022-12-22T15:29:06.978] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
[2022-12-22T17:41:18.876] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
[2022-12-22T17:41:23.012] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
[2022-12-22T18:05:55.926] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
[2022-12-22T18:06:15.920] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
[2022-12-22T18:06:17.790] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
[2022-12-22T18:06:18.604] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
[2022-12-22T18:06:19.461] [WARN] default - Se intento entrar a la ruta /favicon.ico, con el metodo GET
